Map 6.8,,,
"Employee jobs, by ward",,,
,,,Numbers
Ward,Code,Borough,Employees
,,,
Monkhams,00BCGN,Redbridge,"2,713"
Newbury,00BCGP,Redbridge,"4,418"
Roding,00BCGQ,Redbridge,"1,781"
SevenKings,00BCGR,Redbridge,"8,012"
Snaresbrook,00BCGS,Redbridge,"2,642"
Valentines,00BCGT,Redbridge,"5,005"
Wanstead,00BCGU,Redbridge,982
Barnes,00BDFW,Richmond upon Thames,"2,276"
EastSheen,00BDFX,Richmond upon Thames,"3,446"
FulwellandHamptonHill,00BDFY,Richmond upon Thames,"3,823"
"Ham,PetershamandRichmondRiverside",00BDFZ,Richmond upon Thames,"2,453"
Hampton,00BDGA,Richmond upon Thames,"3,545"
HamptonNorth,00BDGB,Richmond upon Thames,"2,120"
HamptonWick,00BDGC,Richmond upon Thames,"2,924"
Heathfield,00BDGD,Richmond upon Thames,956
Kew,00BDGE,Richmond upon Thames,"4,059"
MortlakeandBarnesCommon,00BDGF,Richmond upon Thames,"2,917"
NorthRichmond,00BDGG,Richmond upon Thames,"4,203"
StMargaretsandNorthTwickenham,00BDGH,Richmond upon Thames,"4,341"
SouthRichmond,00BDGJ,Richmond upon Thames,"11,916"
SouthTwickenham,00BDGK,Richmond upon Thames,"3,767"
Teddington,00BDGL,Richmond upon Thames,"6,608"
TwickenhamRiverside,00BDGM,Richmond upon Thames,"7,063"
WestTwickenham,00BDGN,Richmond upon Thames,"1,644"
Whitton,00BDGP,Richmond upon Thames,"1,200"
BrunswickPark,00BEGC,Southwark,"4,012"
CamberwellGreen,00BEGD,Southwark,"6,365"
Cathedrals,00BEGE,Southwark,"59,248"
Chaucer,00BEGF,Southwark,"13,923"
College,00BEGG,Southwark,"1,783"
EastDulwich,00BEGH,Southwark,"2,626"
EastWalworth,00BEGJ,Southwark,"3,375"
Faraday,00BEGK,Southwark,"2,090"
Grange,00BEGL,Southwark,"16,112"
Livesey,00BEGM,Southwark,"4,964"
Newington,00BEGN,Southwark,"3,252"
Nunhead,00BEGP,Southwark,"1,255"
Peckham,00BEGQ,Southwark,"1,447"
PeckhamRye,00BEGR,Southwark,"1,118"
Riverside,00BEGS,Southwark,"25,581"
Rotherhithe,00BEGT,Southwark,"3,036"
SouthBermondsey,00BEGU,Southwark,"2,988"
SouthCamberwell,00BEGW,Southwark,"1,826"
SurreyDocks,00BEGX,Southwark,"3,532"
TheLane,00BEGY,Southwark,"4,510"
Village,00BEGZ,Southwark,"2,751"
BeddingtonNorth,00BFGC,Sutton,"6,482"
BeddingtonSouth,00BFGD,Sutton,"1,717"
Belmont,00BFGE,Sutton,"3,387"
CarshaltonCentral,00BFGF,Sutton,"2,745"
CarshaltonSouthandClockhouse,00BFGG,Sutton,"1,664"
Cheam,00BFGH,Sutton,"3,043"
Nonsuch,00BFGJ,Sutton,"2,430"
StHelier,00BFGK,Sutton,"3,816"
Stonecot,00BFGL,Sutton,"2,988"
SuttonCentral,00BFGM,Sutton,"13,564"
SuttonNorth,00BFGN,Sutton,"1,353"
SuttonSouth,00BFGP,Sutton,"2,318"
SuttonWest,00BFGQ,Sutton,"1,628"
